ORDEM;LOTE;PRODUTO;SITUACAO;COR;DESENHO;VARIANTE;CATEGORIA;NRO_ROLO;METROS;PESO_BRUTO;PESO_LIQUIDO;LARGURA;NRO;ROLO_PL;NRO_PECA;AVISO;FORNECEDOR;TEAR;Num_Etq_Aux
000014;T237L9;000014;001;00005;00000;00000;01;0000266425;88,7;27,3;26,9;1,40;163;163;001;000249;W;000163;W000163266425001
000014;T237L9;000014;001;00005;00000;00000;01;0000266426;101;31,0;30,6;1,40;164;164;001;000249;W;000164;W000164266426001
000014;T237L9;000014;001;00005;00000;00000;01;0000266427;98;30,1;29,7;1,40;165;165;001;000249;W;000165;W000165266427001
000014;T237L9;000014;001;00005;00000;00000;01;0000266428;100,9;31,0;30,6;1,40;166;166;001;000249;W;000166;W000166266428001
000014;T237L9;000014;001;00005;00000;00000;01;0000266429;91;28,0;27,6;1,40;167;167;001;000249;W;000167;W000167266429001
000014;T237L9;000014;001;00005;00000;00000;01;0000266430;96,8;29,7;29,3;1,40;168;168;001;000249;W;000168;W000168266430001
000014;T237L9;000014;001;00005;00000;00000;01;0000266431;92,5;28,4;28,0;1,40;169;169;001;000249;W;000169;W000169266431001
000014;T237L9;000014;001;00005;00000;00000;01;0000266432;100,4;30,8;30,4;1,40;170;170;001;000249;W;000170;W000170266432001
000014;T237L9;000014;001;00005;00000;00000;01;0000266433;102,6;31,5;31,1;1,40;171;171;001;000249;W;000171;W000171266433001
000014;T237L9;000014;001;00005;00000;00000;01;0000266434;44,4;13,9;13,5;1,40;172;172;001;000249;W;000172;W000172266434001
000014;T237L9;000014;001;00005;00000;00000;01;0000266435;101,9;31,3;30,9;1,40;173;173;001;000249;W;000173;W000173266435001
000014;T237L9;000014;001;00005;00000;00000;01;0000266436;83;25,6;25,2;1,40;174;174;001;000249;W;000174;W000174266436001
000014;T237L9;000014;001;00005;00000;00000;01;0000266437;101,1;31,0;30,6;1,40;175;175;001;000249;W;000175;W000175266437001
000014;T237L9;000014;001;00005;00000;00000;01;0000266438;94,5;29,0;28,6;1,40;176;176;001;000249;W;000176;W000176266438001
000014;T237L9;000014;001;00005;00000;00000;01;0000266439;102,7;31,5;31,1;1,40;177;177;001;000249;W;000177;W000177266439001
